scheduler,mean_reward,total_reward,AWT,ATT,throughput,cpu_utilization,energy_proxy,completed,invalid_actions
Random,-0.44242339525967833,-1800.776662361882,155.10061734878872,172.00557436900687,0.05902673437397484,1.0,2500.561289857314,2952.0,28.5
FCFS_policy,-0.4407448855538718,-1807.6499822366668,153.4519641900975,170.17221754768752,0.05977390005136339,1.0,2500.6752822092885,2989.5,0.0
SJF_policy,-0.6650463277219418,-2712.9713503453854,84.42707507477695,101.23150942747168,0.05949631951294744,1.0,2500.154536908949,2975.0,0.0
Rule_WPM_policy,-0.6614116387553499,-2699.2470682334842,84.30685564433156,101.10738254297655,0.059498381406081116,1.0,2500.4880957279083,2975.5,0.0
PPO_no_forecast,-0.29726878520587685,-1211.6005427728628,75.8331852042984,92.69061688054,0.059018263810376476,1.0,2500.4989902545985,2951.5,3.0
PPO_DeepSched,-0.3321036845897205,-1360.8957859218021,89.06313539526258,105.62899388814499,0.060219802767708795,1.0,2500.4259308445635,3011.5,1.5
